               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026999,            0.017868,           0.0044843,             0.94095,             0.92975,             0.94098,             0.77236,            0.039013,            0.005136,            0.001076,           0.0051914,           0.0051914,           0.0051914
                  36,            0.026426,            0.017619,           0.0046859,             0.90809,             0.92087,              0.9294,             0.74757,            0.041444,            0.004822,           0.0010117,             0.00505,             0.00505,             0.00505
                  37,            0.026091,            0.016907,           0.0052337,              0.9392,             0.91867,             0.93192,             0.78716,            0.038137,            0.004894,           0.0013886,           0.0049086,           0.0049086,           0.0049086
                  38,            0.025483,            0.017041,           0.0053885,             0.89892,             0.92484,             0.92635,             0.77981,            0.037457,           0.0050579,           0.0019089,           0.0047671,           0.0047671,           0.0047671
                  39,            0.025513,            0.018009,           0.0047261,             0.93485,             0.92087,              0.9296,             0.81941,            0.036951,           0.0048358,           0.0012328,           0.0046257,           0.0046257,           0.0046257
                  40,             0.02409,            0.016826,           0.0049461,             0.92532,             0.92243,             0.95955,             0.78604,            0.037216,           0.0052486,          0.00094957,           0.0044843,           0.0044843,           0.0044843
                  41,            0.024564,            0.016873,           0.0043195,             0.94924,             0.93277,             0.96016,             0.81382,            0.037239,           0.0046551,           0.0010762,           0.0043429,           0.0043429,           0.0043429
                  42,             0.02341,            0.015214,           0.0046621,             0.89792,             0.93277,             0.95203,             0.74507,            0.039577,           0.0049609,          0.00065475,           0.0042014,           0.0042014,           0.0042014
                  43,            0.024597,            0.017102,           0.0045336,             0.90281,             0.93277,             0.94264,             0.78733,            0.038744,           0.0046122,          0.00065131,             0.00406,             0.00406,             0.00406
                  44,             0.02346,            0.016524,           0.0047869,             0.89295,             0.93005,             0.93145,             0.78955,            0.035682,            0.004972,           0.0007174,           0.0039186,           0.0039186,           0.0039186
                  45,            0.023552,            0.015683,           0.0038753,             0.90535,             0.93277,             0.93098,             0.80146,            0.037572,           0.0046662,          0.00072098,           0.0037771,           0.0037771,           0.0037771
                  46,            0.023332,             0.01635,           0.0039372,             0.89687,             0.93277,             0.93147,             0.77583,            0.035958,           0.0049222,          0.00081711,           0.0036357,           0.0036357,           0.0036357
                  47,            0.022051,            0.015936,           0.0039392,             0.90559,             0.93277,             0.93278,             0.83659,            0.036314,           0.0048824,          0.00074344,           0.0034943,           0.0034943,           0.0034943
                  48,            0.022199,            0.015276,           0.0038789,             0.91877,             0.93277,             0.93074,             0.80556,            0.035717,           0.0043848,          0.00075045,           0.0033529,           0.0033529,           0.0033529
                  49,            0.022562,            0.016541,           0.0037668,             0.91567,             0.93277,             0.92679,             0.79317,            0.036079,           0.0046255,          0.00080481,           0.0032114,           0.0032114,           0.0032114
                  50,            0.021718,            0.016051,           0.0033046,             0.89759,             0.93277,             0.92775,             0.83455,            0.033121,           0.0042704,           0.0010221,             0.00307,             0.00307,             0.00307
                  51,            0.022082,            0.016322,           0.0038995,             0.88026,             0.93277,             0.92538,             0.79591,            0.034528,            0.004402,           0.0012301,           0.0029286,           0.0029286,           0.0029286
                  52,            0.022391,            0.015522,           0.0040358,             0.88192,             0.93277,             0.92848,             0.81255,             0.03357,           0.0047654,          0.00069838,           0.0027871,           0.0027871,           0.0027871
                  53,            0.021762,            0.014682,           0.0035537,             0.89076,             0.93211,             0.92778,             0.80904,             0.03687,             0.00481,          0.00070639,           0.0026457,           0.0026457,           0.0026457
                  54,            0.021721,            0.015321,           0.0032144,             0.89416,              0.9295,             0.91836,             0.80629,             0.03793,           0.0045217,          0.00067878,           0.0025043,           0.0025043,           0.0025043
                  55,            0.022626,            0.015722,           0.0040593,             0.89479,             0.93277,              0.9196,             0.81671,            0.035596,            0.004712,          0.00068278,           0.0023629,           0.0023629,           0.0023629
                  56,            0.020902,            0.015268,           0.0034839,             0.88601,             0.93277,             0.91897,             0.81414,            0.033204,           0.0045325,          0.00065989,           0.0022214,           0.0022214,           0.0022214
                  57,             0.02017,            0.014689,           0.0031892,              0.8853,             0.93277,             0.92143,             0.82271,            0.033387,           0.0043059,          0.00061927,             0.00208,             0.00208,             0.00208
                  58,             0.02069,            0.015305,           0.0032792,             0.90066,             0.92933,             0.93201,             0.81642,            0.033253,           0.0044825,          0.00057793,           0.0019386,           0.0019386,           0.0019386
                  59,              0.0207,            0.015218,           0.0027475,             0.89823,             0.93277,             0.93572,             0.80616,            0.032955,           0.0044217,          0.00057421,           0.0017971,           0.0017971,           0.0017971
                  60,            0.019747,            0.014072,           0.0039436,             0.89581,             0.92979,             0.93364,             0.82921,            0.034507,           0.0044653,          0.00057421,           0.0016557,           0.0016557,           0.0016557
                  61,            0.019412,            0.014407,            0.003259,             0.89621,             0.92917,             0.92146,             0.81695,            0.032206,           0.0044568,          0.00058694,           0.0015143,           0.0015143,           0.0015143
                  62,            0.020212,            0.015577,           0.0026943,             0.90987,             0.92087,             0.92292,             0.81459,            0.033107,            0.004679,           0.0005569,           0.0013729,           0.0013729,           0.0013729
                  63,            0.018676,            0.013948,           0.0029661,             0.89717,             0.92087,             0.92412,             0.82849,            0.034081,             0.00449,          0.00054889,           0.0012314,           0.0012314,           0.0012314
                  64,            0.018875,            0.014536,           0.0029672,             0.89843,             0.93271,              0.9268,             0.82151,            0.034893,           0.0042188,           0.0005815,             0.00109,             0.00109,             0.00109
                  65,            0.019292,             0.01439,           0.0039175,             0.89501,             0.93234,             0.92595,             0.83383,            0.034706,           0.0042362,          0.00055032,          0.00094857,          0.00094857,          0.00094857
                  66,            0.018982,              0.0145,           0.0032548,             0.89071,             0.93277,             0.92247,              0.8278,            0.034883,           0.0042595,          0.00054917,          0.00080714,          0.00080714,          0.00080714
                  67,            0.019043,            0.014265,           0.0038656,              0.8905,             0.93277,             0.93133,             0.84057,            0.034743,           0.0043533,          0.00054345,          0.00066571,          0.00066571,          0.00066571
                  68,             0.01841,            0.013938,           0.0036272,             0.89061,             0.93277,             0.93182,             0.82917,             0.03462,           0.0043743,          0.00055032,          0.00052429,          0.00052429,          0.00052429
                  69,            0.017808,            0.014142,           0.0023212,               0.892,             0.93277,              0.9318,             0.84228,            0.034255,           0.0044378,          0.00053444,          0.00038286,          0.00038286,          0.00038286
